,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,ADA-USD,BTC-USD,XRP-USD
322,83.50988,85.40515,38.670364,92.588326,159.67834,73.3465,38.50302,68.20077,132.06583,181.09584,0.35186878,59711.527,0.45678815
323,83.50274,85.13902,38.623913,92.8243,159.75816,73.33404,38.44925,67.98865,132.16696,183.24535,0.3449568,59099.492,0.45131713
324,83.470314,85.20388,38.614033,92.73137,159.72441,73.30067,38.813244,68.076965,132.21046,184.1371,0.35074207,59591.156,0.4558619
325,83.46613,85.308235,38.640926,92.69562,159.76123,73.25538,39.141563,67.49717,132.23145,182.49237,0.34561357,58784.45,0.4524722
326,83.21087,85.32276,38.656948,93.628845,159.23299,73.1605,38.7493,67.12842,132.36089,182.9956,0.36263332,60319.105,0.457648
327,83.247604,85.30239,38.725864,93.15984,158.877,73.253876,38.919548,67.40406,132.43124,185.7864,0.3771627,59845.0,0.46473774
328,83.378426,85.41627,38.70993,92.84575,157.90028,73.2335,38.877068,67.71915,132.5425,186.68047,0.36637238,58689.1,0.44876486
329,83.40274,84.98121,38.70862,93.15984,157.67401,73.344345,39.025475,67.80973,132.43001,187.80034,0.31122622,56198.664,0.4117643
330,83.44429,84.793175,38.693428,93.05286,157.16566,73.334885,39.12049,67.86223,132.4492,187.86514,0.3296911,56231.133,0.4171229
331,83.28041,84.50297,38.73361,93.430275,157.22652,73.31609,39.131027,68.0108,132.35803,188.31557,0.3358136,57197.598,0.42109486
332,83.48248,84.72555,38.749146,92.65986,156.13559,73.34579,39.414013,68.478874,132.12724,189.31613,0.34892717,57003.902,0.42389148
333,83.59227,85.04349,38.77178,91.5527,158.04022,73.32115,40.462627,69.32551,131.91074,187.59792,0.35572213,56711.34,0.43285814
334,83.61043,85.11704,38.777607,91.049576,157.38011,73.34923,40.7477,69.64519,131.68825,189.34369,0.3759383,57118.15,0.4559293
335,83.61035,85.51356,38.77723,90.425896,157.24573,73.309715,40.912483,68.52091,131.81728,189.19188,0.4044657,61375.855,0.5128953
336,83.525604,85.618416,38.747948,88.33796,157.49521,73.36456,41.27422,68.890305,131.24423,191.47495,0.39719054,61485.043,0.55051297
337,83.54413,85.83066,38.714592,89.4132,160.32939,73.35796,41.608006,68.91701,131.03316,189.31613,0.39577383,61000.36,0.5933772
338,83.60166,85.86641,38.76289,90.08683,160.32336,73.37135,41.292995,68.876915,131.96214,187.9442,0.3831682,60925.566,0.5416152
339,83.60826,85.63568,38.781162,90.56523,161.35611,73.37264,41.246002,68.93033,131.78824,186.71017,0.3980214,62203.086,0.5454069
340,83.61081,85.48703,38.773724,89.69018,159.80107,73.37286,41.617146,69.31288,131.56998,188.21599,0.38575768,62549.72,0.5762075
341,83.6061,85.05642,38.76989,89.853645,160.07553,73.36861,41.553005,69.029495,131.5941,187.60516,0.36965346,61867.484,0.56694514
342,83.590744,85.05965,38.782104,91.7521,162.72238,73.36642,41.027718,69.530235,131.24121,181.58746,0.3664788,61614.64,0.58641213
343,83.601585,85.5162,38.78251,91.049576,163.30286,73.362915,40.815765,69.1597,131.45984,180.99533,0.35460603,61800.2,0.56909084
344,83.58219,85.59091,38.754414,89.58173,162.6182,73.36811,41.4515,69.590996,131.21394,182.66339,0.37713528,62671.367,0.57295936
345,83.57171,85.37992,38.758835,89.73096,162.86647,73.36719,41.69003,69.78145,131.18646,185.08165,0.36371338,62248.234,0.571156
346,83.59004,85.74228,38.711033,89.480484,164.13905,73.37149,41.95915,69.99395,131.1464,184.27887,0.36143643,61987.47,0.5946452
347,83.512764,85.82853,38.723656,88.54979,161.93947,73.368324,41.870186,70.49111,131.31285,186.4719,0.3488669,61252.863,0.5910556
348,83.549515,85.185524,38.77236,90.135056,163.98125,73.36546,42.42613,71.10001,130.83055,182.8905,0.3526931,61607.824,0.56604207
349,83.60681,84.36286,38.760994,92.08048,165.1126,73.319176,42.451385,71.1504,130.92976,177.16487,0.32467586,59475.58,0.53363067
350,83.4241,83.518814,38.586906,93.60052,165.91914,73.362915,41.37716,70.21431,132.02448,172.6039,0.2760025,54075.164,0.46919122
351,83.489,83.76239,38.703262,92.56686,165.67279,73.37265,42.186863,70.53138,131.87396,174.3643,0.29286608,55715.652,0.48382112
352,83.28467,83.91745,38.70993,92.98862,165.95769,73.37182,41.923656,70.731476,132.18533,171.53534,0.28607982,54919.9,0.5699951
353,83.50753,84.67118,38.770763,90.99316,165.1142,73.33923,42.23005,70.769295,131.4259,174.99823,0.31308505,59654.777,0.58525884
354,83.49908,84.74348,38.77826,90.979065,164.96214,73.32934,42.40925,70.88488,131.20786,175.52739,0.30993745,59143.0,0.5521268
355,83.44579,84.897156,38.768593,91.424774,164.66093,73.35743,42.19552,70.94343,131.37715,174.8975,0.30073175,58141.86,0.5408839
356,83.5512,84.586174,38.7814,90.50944,163.2761,73.33278,42.44297,71.12952,130.81044,178.78351,0.30186275,58971.086,0.54780984
357,83.5512,84.775505,38.775387,90.15575,162.98581,73.296906,42.568268,71.108475,130.62578,177.95253,0.2973493,57715.51,0.5412685
358,83.610664,85.13277,38.751263,89.013466,161.31015,73.17483,42.46818,71.104256,130.28525,182.73648,0.28766418,56870.246,0.5337975
359,83.60976,85.10123,38.72033,89.13265,161.20343,73.1329,42.451385,71.240395,130.22606,183.08437,0.29256883,57824.96,0.53702676
360,83.59871,85.28773,38.69062,88.62742,160.12103,73.07634,42.658955,71.42984,129.87218,184.86484,0.29859555,58236.168,0.56799024
